############################################################
# SHIM CENSUS: 245 inline shims in stdafx_linux.h
#   adapt=2, noop-const=114, noop-risky=69, real=60
# NOTE: classification is heuristic triage, not an audited verdict.
# 'noop-risky' entries need human review (do they break callers?).
############################################################
shim_name	classification	caller_count	callers	signature
GetVersionExW	real	1	source/os_version.cpp	{
GetSystemTime	real	2	source/lib/vars.cpp,source/linux/core/core_builtin_stubs.cpp	{
GetLocalTime	real	3	source/lib/string.cpp,source/lib/vars.cpp,source/linux/core/core_builtin_stubs.cpp	{
GetDateFormat	noop-const	2	source/lib/string.cpp,source/lib/vars.cpp	{
GetTimeFormat	noop-const	1	source/lib/string.cpp	{
_sctprintf	real	1	source/lib/string.cpp	{
_tcsupr	real	1	source/lib/file.cpp	{
CreateDirectory	real	1	source/lib/file.cpp	{
DeleteFile	real	2	source/lib/file.cpp,source/script_autoit.cpp	{
CopyFile	real	2	source/lib/file.cpp,source/script_autoit.cpp	{
MoveFile	real	2	source/lib/file.cpp,source/script_autoit.cpp	{
SetFileAttributes	real	1	source/lib/file.cpp	{
LocalFileTimeToFileTime	real	1	source/lib/file.cpp	{
SetFileTime	real	1	source/lib/file.cpp	{
wcsicasecmp	real	0		{
wcsnicasecmp	real	0		{
_tstof	noop-const	5	source/linux/gui/script_gui_linux.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/util.h	{
_tstof	noop-const	5	source/linux/gui/script_gui_linux.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/util.h	{
_ttoi	noop-const	13	source/hotkey.cpp,source/lib/input.cpp,source/lib/regex.cpp,source/lib/string.cpp,source/lib/win.cpp,source/linux/core/core_inputhook_linux.cpp,source/linux/core/core_platform_stubs.cpp,source/linux/core/core_win_linux.cpp,source/linux/gui/script_gui_linux.cpp,source/script.cpp,source/script_gui.cpp,source/util.cpp	{
_ttoi64	noop-const	2	source/linux/core/core_builtin_stubs.cpp,source/util.h	{
_ttoi	noop-const	13	source/hotkey.cpp,source/lib/input.cpp,source/lib/regex.cpp,source/lib/string.cpp,source/lib/win.cpp,source/linux/core/core_inputhook_linux.cpp,source/linux/core/core_platform_stubs.cpp,source/linux/core/core_win_linux.cpp,source/linux/gui/script_gui_linux.cpp,source/script.cpp,source/script_gui.cpp,source/util.cpp	{
_ttoi64	noop-const	2	source/linux/core/core_builtin_stubs.cpp,source/util.h	{
_stprintf	real	16	source/MdFunc.cpp,source/hotkey.cpp,source/lib/drive.cpp,source/lib/file.cpp,source/lib/math.cpp,source/lib/pixel.cpp,source/lib/string.cpp,source/lib/vars.cpp,source/lib/win.cpp,source/linux/core/core_builtin_stubs.cpp,source/linux/core/core_md_func_linux.cpp,source/script.cpp	{
_isctype	adapt	1	source/util.h	{
CharLower	real	4	source/lib/DllCall.cpp,source/lib/regex.cpp,source/lib/string.cpp,source/util.h	{
CharLower	noop-const	4	source/lib/DllCall.cpp,source/lib/regex.cpp,source/lib/string.cpp,source/util.h	{
CharUpper	real	5	source/hotkey.cpp,source/lib/regex.cpp,source/lib/string.cpp,source/script.cpp,source/util.h	{
CharUpper	noop-const	5	source/hotkey.cpp,source/lib/regex.cpp,source/lib/string.cpp,source/script.cpp,source/util.h	{
Sleep	real	10	source/AutoHotkey.cpp,source/application.cpp,source/globaldata.h,source/hook.cpp,source/hook.h,source/hotkey.cpp,source/keyboard_mouse.cpp,source/linux/core/core_platform_stubs.cpp,source/script.cpp,source/window.cpp	{
GetTickCount	real	26	source/application.cpp,source/clipboard.cpp,source/defines.h,source/globaldata.cpp,source/globaldata.h,source/hook.cpp,source/hotkey.cpp,source/hotkey.h,source/input_object.cpp,source/keyboard_mouse.cpp,source/lib/CCallback.cpp,source/lib/input.cpp	{
GetTickCount64	real	1	source/lib/vars.cpp	{
GetLastError	noop-const	21	source/MdType.h,source/clipboard.cpp,source/defines.h,source/error.cpp,source/hook.cpp,source/lib/DllCall.cpp,source/lib/drive.cpp,source/lib/file.cpp,source/lib/interop.cpp,source/lib/pixel.cpp,source/lib/process.cpp,source/lib/win.cpp	{
SetEndOfFile	real	1	source/TextIO.h	{
GetForegroundWindow	noop-const	16	source/WinGroup.cpp,source/application.cpp,source/hook.cpp,source/keyboard_mouse.cpp,source/keyboard_mouse.h,source/lib/InputBox.cpp,source/lib/vars.cpp,source/lib/wait.cpp,source/lib/win.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp	{
GetKeyboardLayout	noop-const	4	source/hook.cpp,source/keyboard_mouse.cpp,source/keyboard_mouse.h,source/script_gui.cpp	{
IsValidCodePage	noop-const	2	source/TextIO.h,source/script.h	{
GetDlgCtrlID	noop-const	2	source/script.h,source/script_autoit.cpp	{
GetParent	noop-const	6	source/application.cpp,source/lib/win.cpp,source/script.h,source/script_autoit.cpp,source/script_gui.cpp,source/window.cpp	{
GetCurrentThreadId	noop-const	5	source/Debugger.cpp,source/globaldata.cpp,source/hook.cpp,source/keyboard_mouse.cpp,source/lib/regex.cpp	{
GetDC	noop-const	6	source/globaldata.cpp,source/lib/pixel.cpp,source/script.cpp,source/script_autoit.cpp,source/script_gui.cpp,source/util.cpp	{
GetDeviceCaps	noop-const	3	source/globaldata.cpp,source/script_gui.cpp,source/util.h	{
ReleaseDC	noop-risky	6	source/globaldata.cpp,source/lib/pixel.cpp,source/script.cpp,source/script_autoit.cpp,source/script_gui.cpp,source/util.cpp	{
MulDiv	noop-const	4	source/script.h,source/script_gui.cpp,source/util.cpp,source/util.h	{
RegConnectRegistry	noop-risky	1	source/script.h	{
SetLastError	noop-const	10	source/TextIO.cpp,source/lib/DllCall.cpp,source/lib/file.cpp,source/lib/vars.cpp,source/lib/win.cpp,source/linux/core/core_builtin_stubs.cpp,source/linux/core/core_mdfunc_linux.cpp,source/script2.cpp,source/script_autoit.cpp,source/script_gui.cpp	{
GetFileType	real	1	source/TextIO.cpp	{
GetStdHandle	real	1	source/TextIO.cpp	{
CreateFile	real	6	source/TextIO.cpp,source/lib/drive.cpp,source/lib/file.cpp,source/script_autoit.cpp,source/script_registry.cpp,source/util.cpp	{
LinuxPidToHandle	noop-const	0		{
LinuxIsProcessHandle	noop-const	0		{
LinuxHandleToPid	noop-const	0		{
CloseHandle	adapt	13	source/TextIO.cpp,source/hook.cpp,source/lib/drive.cpp,source/lib/file.cpp,source/lib/process.cpp,source/lib/wait.cpp,source/linux/core/core_builtin_stubs.cpp,source/linux/core/core_ctrl_linux.cpp,source/linux/core/core_mdfunc_linux.cpp,source/script.cpp,source/script_autoit.cpp,source/script_registry.cpp	{
ReadFile	real	3	source/TextIO.cpp,source/lib/file.cpp,source/util.cpp	{
WriteFile	real	4	source/TextIO.cpp,source/lib/file.cpp,source/script_autoit.cpp,source/script_registry.cpp	{
SetFilePointerEx	real	1	source/TextIO.cpp	{
GetFileSizeEx	real	2	source/TextIO.cpp,source/lib/file.cpp	{
EnumClipboardFormats	noop-risky	1	source/var.cpp	{
GlobalSize	noop-const	2	source/clipboard.cpp,source/var.cpp	{
GlobalLock	noop-const	3	source/clipboard.cpp,source/util.cpp,source/var.cpp	{
GlobalUnlock	noop-const	3	source/clipboard.cpp,source/util.cpp,source/var.cpp	{
EmptyClipboard	noop-risky	2	source/clipboard.cpp,source/var.cpp	{
GlobalAlloc	noop-risky	4	source/clipboard.cpp,source/lib/CCallback.cpp,source/util.cpp,source/var.cpp	{
GlobalFree	noop-risky	4	source/clipboard.cpp,source/lib/CCallback.cpp,source/util.cpp,source/var.cpp	{
SetClipboardData	noop-risky	2	source/clipboard.cpp,source/var.cpp	{
OpenClipboard	noop-risky	1	source/clipboard.cpp	{
CloseClipboard	noop-risky	1	source/clipboard.cpp	{
GetClipboardData	noop-risky	2	source/clipboard.cpp,source/var.cpp	{
IsClipboardFormatAvailable	noop-risky	4	source/application.cpp,source/clipboard.cpp,source/defines.h,source/lib/wait.cpp	{
_msize	noop-const	1	source/var.cpp	{
SystemTimeToFileTime	real	1	source/util.cpp	{
FileTimeToLocalFileTime	real	2	source/lib/file.cpp,source/util.cpp	{
FileTimeToSystemTime	real	1	source/util.cpp	{
GetSystemTimeAsFileTime	real	2	source/lib/file.cpp,source/util.cpp	{
_vsntprintf	real	1	source/util.cpp	{
_vsntprintf	noop-const	1	source/util.cpp	{
_sntprintf	real	8	source/linux/core/core_hotkey_linux.cpp,source/linux/core/core_mdfunc_linux.cpp,source/linux/gui/script_gui_linux.cpp,source/os_version.cpp,source/script.cpp,source/script2.cpp,source/script_com.cpp,source/script_gui.cpp	{
LinuxIsFindHandle	noop-risky	0		{
FindFirstFile	real	7	source/lib/file.cpp,source/linux/core/core_mdfunc_linux.cpp,source/linux/core/core_platform_stubs.cpp,source/script.cpp,source/script.h,source/script_autoit.cpp,source/util.cpp	{
FindNextFile	real	6	source/lib/file.cpp,source/linux/core/core_mdfunc_linux.cpp,source/linux/core/core_platform_stubs.cpp,source/script.cpp,source/script_autoit.cpp,source/util.cpp	{
FindClose	real	6	source/lib/file.cpp,source/linux/core/core_mdfunc_linux.cpp,source/linux/core/core_platform_stubs.cpp,source/script.cpp,source/script_autoit.cpp,source/util.cpp	{
GetFileAttributes	real	7	source/lib/file.cpp,source/linux/core/core_mdfunc_linux.cpp,source/script.cpp,source/script2.cpp,source/script_autoit.cpp,source/script_registry.cpp,source/util.cpp	{
GetFileSize	noop-const	1	source/util.cpp	{
